month,funded_customers_mn,total_platform_assets_usdbn,net_deposits_usdbn,eqopt_trading_days,crypto_trading_days,vol_equity_usdbn,vol_options_mn,vol_crypto_usdbn,vol_crypto_app_usdbn,vol_crypto_bitstamp_usdbn,vol_event_bn,adv_equity_usdbn,adv_options_mn,adv_crypto_usdmn,adv_crypto_app_usdmn,adv_crypto_bitstamp_usdmn,adv_event_mn,dats_equity_mn,dats_options_mn,dats_crypto_mn,margin_book_usdbn,cash_and_deposits_usdbn,cash_sweep_usdbn,seclend_total_usdmn,seclend_net_usdmn
2024-10,24.4,159.7,5.2,23.0,31,126.4,158.0,5.6,5.6,0.0,0.1,5.5,6.9,181,181,0,3,2.0,0.9,0.2,6.2,11.3,25.5,19,6
2024-11,24.8,194.6,5.6,19.5,30,147.1,155.5,35.2,35.2,0.0,0.5,7.5,8.0,1173,1173,0,17,2.5,1.0,1.0,6.8,11.3,26.5,23,8
2024-12,25.2,192.9,5.3,20.5,31,149.8,163.7,30.2,30.2,0.0,0.0,7.3,8.0,974,974,0,0,2.8,1.0,1.0,7.9,10.0,26.1,28,12
2025-01,25.5,203.7,5.6,20.0,31,144.7,166.6,20.4,20.4,0.0,0.0,7.2,8.3,658,658,0,0,3.3,1.1,0.9,8.3,10.7,26.3,25,10
2025-02,25.6,187.4,4.8,19.0,28,142.9,165.6,14.4,14.4,0.0,0.0,7.5,8.7,514,514,0,0,3.2,1.2,0.7,8.7,9.9,26.2,22,6
2025-03,25.8,220.6,7.6,21.0,31,125.6,167.9,11.3,11.3,0.0,0.3,6.0,8.0,365,365,0,10,3.0,1.1,0.6,8.8,9.8,28.2,24,7
2025-04,25.9,232.3,6.8,21.0,30,157.8,167.5,8.6,8.6,0.0,0.2,7.5,8.0,287,287,0,7,3.3,1.2,0.5,8.4,11.4,28.9,25,9
2025-05,25.9,255.3,3.5,21.0,31,180.5,179.8,11.7,11.7,0.0,0.3,8.6,8.6,377,377,0,10,3.1,1.2,0.5,9.0,12.1,30.8,33,13
2025-06,26.5,278.6,3.5,20.0,30,179.1,168.1,14.7,8.0,6.7,0.4,9.0,8.4,490,267,223,13,3.5,1.1,0.7,9.5,14.0,32.7,54,32
2025-07,26.7,298.0,6.4,21.5,31,209.1,195.8,28.7,16.8,11.9,0.3,9.7,9.1,926,542,384,10,3.7,1.1,1.1,11.4,14.6,33.6,61,37
2025-08,26.7,303.9,4.8,21.0,31,199.2,195.5,28.1,13.7,14.4,0.3,9.5,9.3,906,442,465,10,3.6,1.2,1.0,12.5,14.3,34.1,53,24
2025-09,26.8,332.7,9.2,21.0,30,238.8,218.8,23.5,9.3,14.2,1.7,11.4,10.4,783,310,473,57,4.1,1.3,0.9,13.9,14.4,35.4,59,26
2025-10,27.1,342.6,5.6,23.0,31,320.1,266.7,32.5,13.9,18.6,2.5,13.9,11.6,1048,448,600,81,4.4,1.4,1.1,16.5,14.7,34.2,60,24
2025-11,26.9,324.5,7.1,18.5,30,201.5,193.2,28.6,12.0,16.6,3.0,10.9,10.4,953,400,553,100,3.9,1.3,1.1,16.8,12.1,32.5,34,0
2025-12,27.0,322.1,3.2,21.5,31,188.6,199.4,21.2,8.1,13.1,2.9,8.8,9.3,684,261,423,94,3.6,1.1,0.9,16.8,11.0,32.8,38,2
2026-01,27.2,324.4,4.5,20.0,31,227.3,200.0,22.9,8.7,14.2,3.4,11.4,10.0,739,281,458,110,4.2,1.3,1.0,18.4,11.7,31.5,34,4
2026-02,27.4,314.2,5.6,19.0,28,194.4,180.3,25.0,9.4,15.6,2.4,10.2,9.5,893,336,557,86,4.0,1.3,1.1,17.2,16.5,25.8,25,-1
2026-03,27.4,307.3,7.6,22.0,31,216.1,205.9,17.8,5.7,12.1,3.0,9.8,9.4,574,184,390,97,4.0,1.2,0.7,17.0,16.7,26.0,33,1
2026-04,27.6,345.4,6.0,21.0,30,248.5,224.8,11.9,5.4,6.5,3.2,11.8,10.7,397,180,217,107,4.0,1.3,0.6,18.0,18.1,27.6,32,3
2026-05,27.7,377.0,5.6,20.0,31,315.3,231.1,12.2,5.9,6.3,3.9,15.8,11.6,393,190,203,126,4.8,1.5,0.7,19.5,18.6,28.8,36,5
2026-06,28.4,368.7,10.1,21.0,30,392.0,318.0,16.3,6.9,9.4,6.4,18.7,15.1,543,230,313,213,5.7,2.1,0.8,21.6,18.7,29.7,41,2
2026-07,28.5,355.0,5.6,22.0,31,332.8,324.2,10.9,4.3,6.6,6.1,15.1,14.7,352,139,213,197,4.8,2.1,0.6,20.7,19.5,29.2,40,1
